,Luz (lux)
1312,19588
1313,13365
1314,22417
1315,24253
1316,30368
1317,32124
1318,27139
1319,35148
1320,44010
1321,24527
1322,25369
1323,23714
1324,50937
1325,21192
1326,22927
1327,42551
1328,31059
1329,28708
1330,7704
1331,2832
1332,1007
1333,10
1334,1
1335,1
1336,1
1337,1
1338,1
1339,1
1340,1
1341,1
1342,1
1343,1
1344,4491
1345,5140
1346,3241
1347,1766
1348,3710
1349,2618
1350,2021
1351,3547
1352,5198
1353,5561
1354,5498
1355,10204
1356,15125
1357,14956
1358,1543
1359,7283
1360,4593
1361,1977
1362,261
1363,1
1364,1
1365,1
1366,1
1367,1
1368,1
1369,1
1370,1
1371,1
1372,1
1373,1
1374,1
1375,1
1376,1
1377,1
1378,1
1379,1
1380,1
1381,1
1382,1
1383,1
1384,1
1385,216
1386,6656
1387,7201
1388,10554
1389,11165
1390,9119
1391,21432
1392,15644
1393,17903
1394,27139
1395,25946
1396,47614
1397,41139
1398,43032
1399,33982
1400,47082
1401,49804
1402,53280
1403,41605
1404,38456
1405,30029
1406,20721
1407,18310
1408,13824
1409,5623
1410,769
1411,2
1412,1
1413,1
1414,1
1415,1
1416,1
1417,1
1418,1
1419,1
1420,1
1421,1
1422,1
1423,1
1424,1
1425,1
1426,1
1427,1
1428,1
1429,1
1430,1
1431,1
1432,1
1433,130
1434,2738
1435,4542
1436,8817
1437,10917
1438,9222
1439,15999
1440,6293
1441,4804
1442,11810
1443,7533
1444,14460
1445,31059
1446,29693
1447,35148
1448,49247
1449,50937
1450,35148
1451,36765
1452,33602
1453,27446
1454,23449
1455,20260
1456,11291
1457,5140
1458,438
1459,2
1460,1
1461,1
1462,1
1463,1
1464,1
1465,1
1466,1
1467,1
1468,1
1469,1
1470,1
1471,1
1472,1
1473,1
1474,1
1475,1
1476,1
1477,1
1478,1
1479,1
1480,1
1481,94
1482,1065
1483,7365
1484,14138
1485,16363
1486,18727
1487,19153
1488,19810
1489,32124
1490,31765
1491,26536
1492,27139
1493,13824
1494,33982
1495,19153
1496,18727
1497,16548
1498,30712
1499,25946
1500,20260
1501,32488
1502,19153
1503,21432
1504,11419
1505,4105
1506,338
1507,1
1508,1
1509,1
1510,1
1511,1
1512,1
1513,1
1514,1
1515,1
1516,1
1517,1
1518,1
1519,1
1520,1
1521,1
1522,1
1523,1
1524,1
1525,1
1526,1
1527,1
1528,1
1529,92
1530,1708
1531,3710
1532,8621
1533,8150
1534,12493
1535,14138
1536,17505
1537,20721
1538,26836
1539,22671
1540,38456
1541,32855
1542,26536
1543,28708
1544,24253
1545,33226
1546,46035
1547,22417
1548,36765
1549,35545
1550,25369
1551,20489
1552,10917
1553,5816
1554,672
1555,2
1556,1
1557,1
1558,1
1559,1
1560,1
1561,1
1562,1
1563,1
1564,1
1565,1
1566,1
1567,1
1568,1
1569,1
1570,1
1571,1
1572,1
1573,1
1574,1
1575,1
1576,1
1577,29
1578,1102
1579,2067
1580,8524
1581,14138
1582,13980
1583,23714
1584,31765
1585,7121
1586,15820
1587,24805
1588,31765
1589,36765
1590,25946
1591,25369
1592,16363
1593,6885
1594,3547
1595,6153
1596,3924
1597,5498
1598,4804
1599,1848
1600,1670
1601,1561
1602,273
1603,2
1604,1
1605,1
1606,1
1607,1
1608,1
1609,1
1610,1
1611,1
1612,1
1613,1
1614,1
1615,1
1616,1
1617,1
1618,1
1619,1
1620,1
1621,1
1622,1
1623,1
1624,1
1625,124
1626,2366
1627,8242
1628,26239
1629,28070
1630,37601
1631,25369
1632,23982
1633,45011
1634,43518
1635,46035
1636,28708
1637,30029
1638,23714
1639,29033
1640,45520
1641,44010
1642,49247
1643,33602
1644,16548
1645,40679
1646,18310
1647,8817
1648,10204
1649,5025
1650,743
1651,1
1652,1
1653,1
1654,1
1655,1
1656,1
1657,1
1658,1
1659,1
1660,1
1661,1
1662,1
1663,1
1664,1
1665,1
1666,1
1667,1
1668,1
1669,1
1670,1
1671,1
1672,1
1673,67
1674,2832
1675,3099
1676,9756
1677,17703
1678,27756
1679,27139
1680,24253
1681,7879
1682,13216
1683,23186
1684,38891
1685,40225
1686,26536
1687,32855
1688,42551
1689,33982
1690,39775
1691,43032
1692,35545
1693,22417
1694,14298
1695,9119
1696,6656
1697,1954
1698,276
1699,2
1700,1
1701,1
1702,1
1703,1
1704,1
1705,1
1706,1
1707,1
1708,1
1709,1
1710,1
1711,1
1712,1
1713,1
1714,1
1715,1
1716,1
1717,1
1718,1
1719,1
1720,1
1721,9
1722,302
1723,1670
1724,3391
1725,2212
1726,14298
1727,5025
1728,9978
1729,7704
1730,17703
1731,25369
1732,16180
1733,20955
1734,22927
1735,13824
1736,30712
1737,20721
1738,23982
1739,23186
1740,22417
1741,11678
1742,8150
1743,2237
1744,1492
1745,1139
1746,258
1747,1
1748,1
1749,1
1750,1
1751,1
1752,1
1753,1
1754,1
1755,1
1756,1
1757,1
1758,1
1759,1
1760,1
1761,1
1762,1
1763,1
1764,1
1765,1
1766,1
1767,1
1768,1
1769,104
1770,3837
1771,8242
1772,7704
1773,7121
1774,10674
1775,11810
1776,11810
1777,33226
1778,39330
1779,33226
1780,26836
1781,34366
1782,32488
1783,26836
1784,18106
1785,23186
1786,24253
1787,14460
1788,9756
1789,6885
1790,7618
1791,4751
1792,1999
1793,752
1794,141
1795,2
1796,1
1797,1
1798,1
1799,1
1800,1
1801,1
1802,1
1803,1
1804,1
1805,1
1806,1
1807,1
1808,1
1809,1
1810,1
1811,1
1812,1
1813,1
1814,1
1815,1
1816,1
1817,99
1818,2475
1819,6656
1820,10320
1821,11944
