,Velocidad del viento (Km/h)
740,3.037974684
741,1.4953271030000002
742,1.580680571
743,4.285714286
744,1.658986175
745,2.068965517
746,0.0
747,3.123644252
748,0.0
749,3.0703624730000003
750,8.372093023
751,0.0
752,1.325966851
753,0.0
754,0.0
755,3.192904656
756,0.0
757,0.0
758,3.325635104
759,0.0
760,1.825095057
761,0.0
762,2.162162162
763,1.9225634180000002
764,4.897959183999999
765,1.115414407
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,8.674698795
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,1.296129613
785,5.829959514
786,3.044397463
787,2.526315789
788,2.75334608
789,1.991701245
790,1.476923077
791,1.110254433
792,2.31884058
793,0.0
794,3.38028169
795,0.0
796,1.239242685
797,1.342031687
798,1.438561439
799,2.696629213
800,1.207041073
801,1.058045555
802,1.548387097
803,0.0
804,0.0
805,0.0
806,0.0
807,0.0
808,0.0
809,0.0
810,0.0
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,2.647058824
820,0.0
821,0.0
822,0.0
823,0.0
824,0.0
825,0.0
826,0.0
827,0.0
828,0.0
829,0.0
830,5.60311284
831,5.106382979
832,5.034965035
833,2.453151618
834,1.2642669009999998
835,1.601779755
836,4.376899696000001
837,4.600638978
838,5.714285714
839,0.0
840,1.381957774
841,1.4103819780000002
842,1.5110178380000001
843,0.0
844,0.0
845,3.090128755
846,2.408026756
847,1.4984391259999998
848,3.654822335
849,0.0
850,0.0
851,0.0
852,1.6143497759999998
853,0.0
854,1.254355401
855,1.3407821229999999
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.0
873,0.0
874,0.0
875,0.0
876,0.0
877,0.0
878,0.0
879,0.0
880,2.057142857
881,2.11143695
882,1.097560976
883,0.0
884,0.0
885,1.042722665
886,2.300319489
887,0.0
888,3.123644252
889,5.179856115
890,1.246753247
891,0.0
892,3.287671233
893,5.496183206
894,0.0
895,0.0
896,4.864864865
897,0.0
898,1.4187192119999998
899,0.0
900,1.512605042
901,0.0
902,1.37667304
903,1.101759755
904,0.0
905,0.0
906,25.0
907,5.78313253
908,3.185840708
909,1.7204301080000002
910,5.475285171
911,1.174551387
912,7.578947368
913,0.0
914,0.0
915,0.0
916,0.0
917,3.711340206
918,1.108545035
919,0.0
920,1.391304348
921,0.0
922,0.0
923,0.0
924,0.0
925,0.0
926,0.0
927,0.0
928,0.0
929,0.0
930,1.047272727
931,1.40077821
932,0.0
933,0.0
934,2.3376623380000003
935,0.0
936,1.051094891
937,1.32474701
938,0.0
939,0.0
940,1.662817552
941,1.961852861
942,1.716328963
943,0.0
944,0.0
945,0.0
946,1.396702231
947,0.0
948,0.0
949,0.0
950,0.0
951,0.0
952,0.0
953,0.0
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,1.775585697
962,0.0
963,0.0
964,0.0
965,4.417177914
966,0.0
967,1.5078534030000001
968,0.0
969,0.0
970,3.573200993
971,0.0
972,0.0
973,0.0
974,0.0
975,4.324324324
976,1.353383459
977,0.0
978,2.36453202
979,2.333873582
980,2.274881517
981,1.927710843
982,2.80155642
983,0.0
984,0.0
985,1.636363636
986,2.9327902239999997
987,0.0
988,0.0
989,2.114537445
990,0.0
991,0.0
992,0.0
993,1.478439425
994,1.2868632709999999
995,2.987551867
996,1.951219512
997,0.0
998,1.756097561
999,0.0
1000,0.0
1001,0.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,3.9452054789999997
1010,0.0
1011,0.0
1012,0.0
1013,2.2291021669999997
1014,0.0
1015,0.0
1016,0.0
1017,1.300813008
1018,1.664739884
1019,0.0
1020,0.0
1021,0.0
1022,0.0
1023,0.0
1024,0.0
1025,1.7932752180000002
1026,2.576028623
1027,3.333333333
1028,2.424242424
1029,1.15755627
1030,0.0
1031,0.0
1032,1.5567567569999998
1033,1.945945946
1034,1.274336283
1035,2.926829268
1036,4.149855908
1037,3.37236534
1038,3.673469388
1039,4.690553746
1040,8.421052632
1041,1.6308040769999999
1042,0.0
1043,1.176470588
1044,1.4754098359999999
1045,2.133333333
1046,0.0
1047,0.0
1048,0.0
1049,1.223449448
1050,0.0
1051,0.0
1052,1.208053691
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,0.0
1065,0.0
1066,0.0
1067,0.0
1068,7.30964467
1069,0.0
1070,0.0
1071,1.775585697
1072,1.15942029
1073,1.097560976
1074,0.0
1075,4.298507463
1076,0.0
1077,1.82278481
1078,2.4870466319999998
1079,1.716328963
1080,1.9538670280000001
1081,4.528301887
1082,2.482758621
1083,1.4922279790000001
1084,0.0
1085,3.45323741
1086,4.137931034
