Fecha,PORVL4_AVG
2018-07-10,0.6120833333333334
2018-07-11,0.5650000000000001
2018-07-12,0.8762500000000002
2018-07-13,0.9537499999999998
2018-07-14,0.9925
2018-07-15,0.9095833333333334
2018-07-16,0.7624999999999997
2018-07-17,0.9208333333333332
2018-07-18,0.9770833333333332
2018-07-19,0.9812499999999998
2018-07-20,0.96125
2018-07-21,0.9995833333333338
2018-07-22,0.9983333333333334
2018-07-23,1.0083333333333335
2018-07-24,1.025
2018-07-25,1.022083333333333
2018-07-26,1.0300000000000002
2018-07-27,1.035833333333333
2018-07-28,1.0395833333333333
2018-07-29,0.8320833333333336
2018-07-30,0.7975
2018-07-31,0.7912500000000001
2018-08-01,0.6687500000000001
2018-08-02,0.59375
2018-08-03,0.8708333333333335
