Numero: ,Estoma:  ,Tara: ,Peso(Kg): ,Sobrepeso(Kg): ,Embarque(Kg): ,Fecha: 
1197,PORVB2,2.78,19.5,0.2,19.3,2018-04-11 16:45:38
1198,PORVB2,2.78,19.38,0.08,19.3,2018-04-11 16:45:59
1199,PORVB2,2.78,19.34,0.04,19.3,2018-04-11 16:46:13
1200,PORVB2,2.78,19.34,0.04,19.3,2018-04-11 16:46:25
1201,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 16:46:37
1202,PORVB2,2.78,19.38,0.08,19.3,2018-04-11 16:46:47
1203,PORVB2,2.78,19.66,0.36,19.3,2018-04-11 16:47:00
1204,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 16:47:08
1205,PORVB2,2.78,19.3,0,19.3,2018-04-11 16:47:17
1206,PORVB2,2.78,19.66,0.36,19.3,2018-04-11 16:47:28
1207,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 16:47:46
1208,PORVB2,2.78,19.48,0.18,19.3,2018-04-11 16:47:53
1209,PORVB2,2.78,19.34,0.04,19.3,2018-04-11 16:48:18
1210,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 16:48:31
1211,PORVB2,2.78,19.5,0.2,19.3,2018-04-11 16:48:45
1212,PORVB2,2.78,19.64,0.34,19.3,2018-04-11 16:48:54
1213,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 16:49:17
1214,PORVB2,2.78,19.34,0.04,19.3,2018-04-11 16:49:32
1215,PORVB2,2.78,19.64,0.34,19.3,2018-04-11 16:49:44
1216,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 16:49:53
1217,PORVB2,2.78,19.32,0.02,19.3,2018-04-11 16:50:00
1218,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 16:50:10
1219,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 16:50:43
1220,PORVB2,2.78,19.38,0.08,19.3,2018-04-11 16:50:58
1221,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 16:51:14
1222,PORVB2,2.78,19.5,0.2,19.3,2018-04-11 16:51:25
1223,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 16:51:30
1224,PORVB2,2.78,19.5,0.2,19.3,2018-04-11 16:51:40
1225,PORVB2,2.78,19.58,0.28,19.3,2018-04-11 16:51:52
1226,PORVB2,2.78,19.56,0.26,19.3,2018-04-11 16:52:06
1227,PORVB2,2.78,19.58,0.28,19.3,2018-04-11 16:52:14
1228,PORVB2,2.78,19.32,0.02,19.3,2018-04-11 16:52:22
1229,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 16:52:37
1230,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 16:52:49
1231,PORVB2,2.78,19.6,0.3,19.3,2018-04-11 16:52:57
1232,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 16:53:08
1233,PORVB2,2.78,19.5,0.2,19.3,2018-04-11 16:53:18
1234,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 16:53:29
1235,PORVB2,2.78,19.68,0.38,19.3,2018-04-11 16:53:39
1236,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 16:53:54
1237,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 16:54:04
1238,PORVB2,2.78,19.68,0.38,19.3,2018-04-11 16:54:20
1239,PORVB2,2.78,19.34,0.04,19.3,2018-04-11 16:54:29
1240,PORVB2,2.78,19.5,0.2,19.3,2018-04-11 16:54:44
1241,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 16:54:59
1242,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 16:55:10
1243,PORVB2,2.78,19.5,0.2,19.3,2018-04-11 16:55:32
1244,PORVB2,2.78,19.6,0.3,19.3,2018-04-11 16:55:48
1245,PORVB2,2.78,19.28,-0.02,19.3,2018-04-11 16:56:03
1246,PORVB2,2.78,19.58,0.28,19.3,2018-04-11 16:56:11
1247,PORVB2,2.78,19.56,0.26,19.3,2018-04-11 16:56:24
1248,PORVB2,2.78,19.3,0,19.3,2018-04-11 16:56:37
1249,PORVB2,2.78,19.56,0.26,19.3,2018-04-11 16:56:50
1250,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 16:57:03
1251,PORVB2,2.78,19.72,0.42,19.3,2018-04-11 16:57:17
1252,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 16:57:28
1253,PORVB2,2.78,19.7,0.4,19.3,2018-04-11 16:57:54
1254,PORVB2,2.78,19.6,0.3,19.3,2018-04-11 16:58:17
1255,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 16:58:31
1256,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 16:58:40
1257,PORVB2,2.78,19.5,0.2,19.3,2018-04-11 16:58:59
1258,PORVB2,2.78,19.5,0.2,19.3,2018-04-11 16:59:07
1259,PORVB2,2.78,19.32,0.02,19.3,2018-04-11 16:59:27
1260,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 16:59:36
1261,PORVB2,2.78,19.58,0.28,19.3,2018-04-11 16:59:43
1262,PORVB2,2.78,19.6,0.3,19.3,2018-04-11 16:59:53
1263,PORVB2,2.78,19.58,0.28,19.3,2018-04-11 17:00:03
1264,PORVB2,2.78,19.66,0.36,19.3,2018-04-11 17:00:16
1265,PORVB2,2.78,19.3,0,19.3,2018-04-11 17:00:36
1266,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 17:00:52
1267,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 17:00:58
1268,PORVB2,2.78,19.56,0.26,19.3,2018-04-11 17:01:27
1269,PORVB2,2.78,19.5,0.2,19.3,2018-04-11 17:01:38
1270,PORVB2,2.78,19.6,0.3,19.3,2018-04-11 17:01:50
1271,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 17:01:58
1272,PORVB2,2.78,19.48,0.18,19.3,2018-04-11 17:02:23
1273,PORVB2,2.78,19.3,0,19.3,2018-04-11 17:02:41
1274,PORVB2,2.78,19.52,0.22,19.3,2018-04-11 17:03:08
1275,PORVB2,2.78,19.68,0.38,19.3,2018-04-11 17:03:38
1276,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 17:14:35
1277,PORVB2,2.78,19.28,-0.02,19.3,2018-04-11 17:14:53
1278,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 17:15:03
1279,PORVB2,2.78,19.62,0.32,19.3,2018-04-11 17:15:14
1280,PORVB2,2.78,19.38,0.08,19.3,2018-04-11 17:15:23
1281,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 17:15:39
1282,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 17:16:02
1283,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 17:16:34
1284,PORVB2,2.78,19.48,0.18,19.3,2018-04-11 17:16:40
1285,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 17:17:25
1286,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 17:17:48
1287,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 17:17:55
1288,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 17:18:07
1289,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 17:18:25
1290,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 17:18:36
1291,PORVB2,2.78,19.3,0,19.3,2018-04-11 17:18:50
1292,PORVB2,2.78,19.78,0.48,19.3,2018-04-11 17:19:00
1293,PORVB2,2.78,19.52,0.22,19.3,2018-04-11 17:19:08
1294,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 17:19:17
1295,PORVB2,2.78,19.52,0.22,19.3,2018-04-11 17:19:30
1296,PORVB2,2.78,19.34,0.04,19.3,2018-04-11 17:19:46
1297,PORVB2,2.78,19.6,0.3,19.3,2018-04-11 17:20:00
1298,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 17:20:24
1299,PORVB2,2.78,19.7,0.4,19.3,2018-04-11 17:20:32
1300,PORVB2,2.78,19.52,0.22,19.3,2018-04-11 17:20:45
1301,PORVB2,2.78,19.32,0.02,19.3,2018-04-11 17:20:55
1302,PORVB2,2.78,19.66,0.36,19.3,2018-04-11 17:21:05
1303,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 17:21:13
1304,PORVB2,2.78,19.5,0.2,19.3,2018-04-11 17:21:30
1305,PORVB2,2.78,19.56,0.26,19.3,2018-04-11 17:21:46
1306,PORVB2,2.78,19.5,0.2,19.3,2018-04-11 17:21:54
1307,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 17:22:05
1308,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 17:22:13
1309,PORVB2,2.78,19.32,0.02,19.3,2018-04-11 17:22:27
1310,PORVB2,2.78,19.52,0.22,19.3,2018-04-11 17:22:49
1311,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 17:23:05
1312,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 17:23:20
1313,PORVB2,2.78,19.58,0.28,19.3,2018-04-11 17:23:37
1314,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 17:23:57
1315,PORVB2,2.78,19.52,0.22,19.3,2018-04-11 17:24:17
1316,PORVB2,2.78,19.34,0.04,19.3,2018-04-11 17:24:34
1317,PORVB2,2.78,19.3,0,19.3,2018-04-11 17:25:03
1318,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 17:25:25
1319,PORVB2,2.78,19.58,0.28,19.3,2018-04-11 17:25:36
1320,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 17:25:49
1321,PORVB2,2.78,19.32,0.02,19.3,2018-04-11 17:26:04
1322,PORVB2,2.78,19.28,-0.02,19.3,2018-04-11 17:26:14
1323,PORVB2,2.78,19.56,0.26,19.3,2018-04-11 17:26:25
1324,PORVB2,2.78,19.38,0.08,19.3,2018-04-11 17:26:40
1325,PORVB2,2.78,19.66,0.36,19.3,2018-04-11 17:26:58
1326,PORVB2,2.78,19.48,0.18,19.3,2018-04-11 17:27:10
1327,PORVB2,2.78,19.32,0.02,19.3,2018-04-11 17:27:37
1328,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 17:27:47
1329,PORVB2,2.78,19.5,0.2,19.3,2018-04-11 17:27:58
1330,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 17:28:16
1331,PORVB2,2.78,19.32,0.02,19.3,2018-04-11 17:28:32
1332,PORVB2,2.78,19.56,0.26,19.3,2018-04-11 17:28:45
1333,PORVB2,2.78,19.3,0,19.3,2018-04-11 17:29:07
1334,PORVB2,2.78,19.7,0.4,19.3,2018-04-11 17:29:19
1335,PORVB2,2.78,19.3,0,19.3,2018-04-11 17:29:29
1336,PORVB2,2.78,19.66,0.36,19.3,2018-04-11 17:29:50
1337,PORVB2,2.78,19.58,0.28,19.3,2018-04-11 17:30:04
1338,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 17:30:16
1339,PORVB2,2.78,19.28,-0.02,19.3,2018-04-11 17:30:29
1340,PORVB2,2.78,19.48,0.18,19.3,2018-04-11 17:30:41
1341,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 17:30:49
1342,PORVB2,2.78,19.58,0.28,19.3,2018-04-11 17:30:57
1343,PORVB2,2.78,19.3,0,19.3,2018-04-11 17:31:11
1344,PORVB2,2.78,19.48,0.18,19.3,2018-04-11 17:31:25
1345,PORVB2,2.78,19.3,0,19.3,2018-04-11 17:31:38
1346,PORVB2,2.78,19.66,0.36,19.3,2018-04-11 17:31:48
1347,PORVB2,2.78,19.7,0.4,19.3,2018-04-11 17:31:59
1348,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 17:32:16
1349,PORVB2,2.78,19.32,0.02,19.3,2018-04-11 17:32:43
1350,PORVB2,2.78,19.5,0.2,19.3,2018-04-11 17:32:57
1351,PORVB2,2.78,19.58,0.28,19.3,2018-04-11 17:33:06
1352,PORVB2,2.78,19.62,0.32,19.3,2018-04-11 17:33:37
1353,PORVB2,2.78,19.52,0.22,19.3,2018-04-11 17:33:52
1354,PORVB2,2.78,19.62,0.32,19.3,2018-04-11 17:34:03
1355,PORVB2,2.78,19.3,0,19.3,2018-04-11 17:34:17
1356,PORVB2,2.78,19.6,0.3,19.3,2018-04-11 17:34:36
1357,PORVB2,2.78,19.7,0.4,19.3,2018-04-11 17:34:55
1358,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 17:35:37
1359,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 17:36:00
1360,PORVB2,2.78,19.6,0.3,19.3,2018-04-11 17:36:07
1361,PORVB2,2.78,19.32,0.02,19.3,2018-04-11 17:36:17
1362,PORVB2,2.78,19.58,0.28,19.3,2018-04-11 17:36:27
1363,PORVB2,2.78,19.52,0.22,19.3,2018-04-11 17:36:58
1364,PORVB2,2.78,19.6,0.3,19.3,2018-04-11 17:37:07
1365,PORVB2,2.78,19.32,0.02,19.3,2018-04-11 17:37:15
