Fecha,PORVL10
2018-07-13,0.9637500000000002
2018-07-14,1.0604166666666668
2018-07-15,1.0716666666666663
2018-07-16,0.9204166666666668
2018-07-17,0.9583333333333336
2018-07-18,0.9962500000000006
2018-07-19,1.0533333333333332
2018-07-20,1.095
2018-07-21,1.1812
2018-07-22,1.2166666666666666
2018-07-23,1.2500000000000002
2018-07-24,1.2541666666666669
2018-07-25,1.2633333333333334
2018-07-26,1.3133333333333337
2018-07-27,1.3099999999999998
2018-07-28,1.3074999999999997
2018-07-29,1.2716666666666667
2018-07-30,1.2041666666666668
2018-07-31,1.0045833333333334
2018-08-01,0.8787500000000003
2018-08-02,0.7579166666666667
2018-08-03,0.9083333333333332
