Fecha,PORVL18_AVERAGE
2018-07-11,0.7388541666666667
2018-07-12,0.9654166666666668
2018-07-13,1.0535416666666668
2018-07-14,1.0886458333333335
2018-07-15,1.0727083333333334
2018-07-16,0.9638166666666668
2018-07-17,1.0472836538461539
2018-07-18,1.0959375
2018-07-19,1.1246874999999998
2018-07-20,1.1461458333333332
2018-07-21,1.1972379629629628
2018-07-22,1.2010244963369963
2018-07-23,1.2018750000000002
2018-07-24,1.2202499999999998
2018-07-25,1.2009375000000002
2018-07-26,1.21125
2018-07-27,1.2163541666666666
2018-07-28,1.2242708333333334
2018-07-29,1.1695833333333336
2018-07-30,1.0534375
2018-07-31,0.9107291666666667
2018-08-01,0.9067708333333333
2018-08-02,0.838025
2018-08-03,0.9535416666666668
