peso,fecha,nombreLote,numeroLote,lat,lng,nombreFinca
21.59,2018-07-27 13:32:50,5,5,7.76623098,-76.7626756,Porvenir
26,2018-07-27 13:32:52,5,5,7.76623098,-76.7626756,Porvenir
19,2018-07-27 13:32:53,5,5,7.76623098,-76.7626756,Porvenir
29,2018-07-27 13:32:55,5,5,7.76623098,-76.7626756,Porvenir
23,2018-07-27 13:32:57,5,5,7.76623098,-76.7626756,Porvenir
25,2018-07-27 13:32:59,5,5,7.76623098,-76.7626756,Porvenir
26,2018-07-27 13:33:00,5,5,7.76623098,-76.7626756,Porvenir
26,2018-07-27 13:33:02,5,5,7.76623098,-76.7626756,Porvenir
23,2018-07-27 13:33:04,5,5,7.76623098,-76.7626756,Porvenir
17.5,2018-07-27 13:33:05,5,5,7.76623098,-76.7626756,Porvenir
21.5,2018-07-27 13:33:07,5,5,7.76623098,-76.7626756,Porvenir
29.5,2018-07-27 13:33:08,5,5,7.76623098,-76.7626756,Porvenir
13.5,2018-07-27 13:33:10,5,5,7.76623098,-76.7626756,Porvenir
21.5,2018-07-27 13:33:11,5,5,7.76623098,-76.7626756,Porvenir
20.5,2018-07-27 13:33:13,5,5,7.76623098,-76.7626756,Porvenir
28.59,2018-08-02 12:40:15,5,5,7.76623098,-76.7626756,Porvenir
25,2018-08-02 12:40:17,5,5,7.76623098,-76.7626756,Porvenir
26.5,2018-08-02 12:40:19,5,5,7.76623098,-76.7626756,Porvenir
27,2018-08-02 12:40:21,5,5,7.76623098,-76.7626756,Porvenir
24,2018-08-02 12:40:22,5,5,7.76623098,-76.7626756,Porvenir
25.5,2018-08-02 12:40:24,5,5,7.76623098,-76.7626756,Porvenir
26.5,2018-08-02 12:40:25,5,5,7.76623098,-76.7626756,Porvenir
28.5,2018-08-02 12:40:27,5,5,7.76623098,-76.7626756,Porvenir
26.5,2018-08-02 12:40:29,5,5,7.76623098,-76.7626756,Porvenir
32.5,2018-08-02 12:40:31,5,5,7.76623098,-76.7626756,Porvenir
29,2018-08-02 12:40:32,5,5,7.76623098,-76.7626756,Porvenir
17,2018-08-02 12:40:34,5,5,7.76623098,-76.7626756,Porvenir
28,2018-08-02 12:40:36,5,5,7.76623098,-76.7626756,Porvenir
30,2018-08-02 12:40:37,5,5,7.76623098,-76.7626756,Porvenir
22.5,2018-08-02 12:40:39,5,5,7.76623098,-76.7626756,Porvenir
27,2018-08-02 12:40:41,5,5,7.76623098,-76.7626756,Porvenir
21,2018-08-02 12:40:42,5,5,7.76623098,-76.7626756,Porvenir
29.5,2018-08-02 12:40:44,5,5,7.76623098,-76.7626756,Porvenir
27.5,2018-08-02 12:40:45,5,5,7.76623098,-76.7626756,Porvenir
28.5,2018-08-02 12:40:47,5,5,7.76623098,-76.7626756,Porvenir
26.09,2018-08-02 13:03:38,5,5,7.76623098,-76.7626756,Porvenir
31.5,2018-08-02 13:03:40,5,5,7.76623098,-76.7626756,Porvenir
27,2018-08-02 13:03:41,5,5,7.76623098,-76.7626756,Porvenir
30,2018-08-02 13:03:43,5,5,7.76623098,-76.7626756,Porvenir
26,2018-08-02 13:03:45,5,5,7.76623098,-76.7626756,Porvenir
20.5,2018-08-02 13:03:46,5,5,7.76623098,-76.7626756,Porvenir
21.5,2018-08-02 13:03:47,5,5,7.76623098,-76.7626756,Porvenir
22,2018-08-02 13:03:49,5,5,7.76623098,-76.7626756,Porvenir
23,2018-08-02 13:03:50,5,5,7.76623098,-76.7626756,Porvenir
27,2018-08-02 13:03:52,5,5,7.76623098,-76.7626756,Porvenir
21.5,2018-08-02 13:03:53,5,5,7.76623098,-76.7626756,Porvenir
33,2018-08-02 13:03:55,5,5,7.76623098,-76.7626756,Porvenir
27.5,2018-08-02 13:03:57,5,5,7.76623098,-76.7626756,Porvenir
34,2018-08-02 13:03:58,5,5,7.76623098,-76.7626756,Porvenir
24,2018-08-02 13:03:59,5,5,7.76623098,-76.7626756,Porvenir
