Fecha,PORVL18N1,PORVL18N2,PORVL18N3,PORVL18N4,PORVL18_AVERAGE
2018-03-08,1.7000000000000002,1.5691666666666668,1.7000000000000002,1.6499999999999997,1.6547916666666667
2018-03-09,1.7000000000000002,1.5708333333333335,1.7000000000000002,1.6483333333333334,1.6547916666666669
2018-03-10,1.7000000000000002,1.5708333333333335,1.7000000000000002,1.6545833333333329,1.6563541666666668
2018-03-11,1.7000000000000002,1.574166666666667,1.7000000000000002,1.6583333333333332,1.658125
2018-03-12,1.7000000000000002,1.5720833333333335,1.7000000000000002,1.6587499999999995,1.6577083333333333
2018-03-13,1.7000000000000002,1.5645833333333334,1.7000000000000002,1.65125,1.6539583333333334
2018-03-14,1.7000000000000002,1.564583333333334,1.7000000000000002,1.652083333333333,1.6541666666666668
2018-03-15,1.7000000000000002,1.5675,1.7000000000000002,1.6533333333333329,1.6552083333333334
2018-03-16,1.7000000000000002,1.56875,1.7000000000000002,1.6579166666666665,1.6566666666666667
2018-03-17,1.7000000000000002,1.578333333333334,1.7000000000000002,1.66375,1.6605208333333337
2018-03-18,1.7000000000000002,1.5633333333333332,1.7000000000000002,1.6458333333333328,1.6522916666666667
2018-03-19,1.7000000000000002,1.5612500000000002,1.7000000000000002,1.652916666666666,1.6535416666666667
2018-03-20,1.7000000000000002,1.5583333333333336,1.7000000000000002,1.6537499999999998,1.6530208333333334
2018-03-21,1.7000000000000002,1.56125,1.7000000000000002,1.6629166666666666,1.6560416666666669
2018-03-22,1.7000000000000002,1.5750000000000004,1.7000000000000002,1.6604166666666669,1.658854166666667
2018-03-23,1.7000000000000002,1.5741666666666667,1.7000000000000002,1.6570833333333328,1.6578125
2018-03-24,1.7000000000000002,1.5704166666666666,1.7000000000000002,1.6558333333333328,1.6565625
2018-03-25,1.7000000000000002,1.565416666666667,1.7000000000000002,1.6579166666666665,1.6558333333333333
2018-03-26,1.7000000000000004,1.562916666666667,1.7000000000000002,1.6508333333333336,1.6534375000000003
2018-03-27,1.7000000000000002,1.569583333333333,1.7000000000000002,1.6458333333333337,1.6538541666666668
2018-03-28,1.7000000000000002,1.5716666666666668,1.7000000000000002,1.6458333333333337,1.6543750000000004
2018-03-29,1.7000000000000002,1.5645833333333332,1.7000000000000002,1.6470833333333337,1.6529166666666668
2018-03-30,1.7000000000000002,1.5645833333333332,1.7000000000000002,1.6450000000000005,1.6523958333333335
2018-03-31,1.7000000000000002,1.5645833333333334,1.7000000000000002,1.6445833333333335,1.6522916666666667
2018-04-01,1.7000000000000002,1.5620833333333335,1.7000000000000002,1.6325,1.6486458333333336
2018-04-02,1.7000000000000002,1.5541666666666665,1.7000000000000002,1.6375000000000004,1.6479166666666667
2018-04-03,1.6999999999999995,1.5508333333333335,1.6999999999999995,1.6291666666666669,1.645
2018-04-04,,,,,
2018-04-05,1.6999999999999995,1.5500000000000005,1.6999999999999995,1.6888888888888884,1.6597222222222219
2018-04-06,1.7000000000000002,1.6340000000000006,1.7000000000000002,1.7000000000000002,1.6835000000000002
2018-04-07,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002
2018-04-08,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000004,1.7000000000000002
2018-04-09,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002
2018-04-10,1.7000000000000002,1.7000000000000002,1.7000000000000004,1.7000000000000002,1.7000000000000002
2018-04-11,1.7000000000000002,1.7000000000000002,1.6991666666666665,1.7000000000000002,1.6997916666666668
2018-04-12,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002
2018-04-13,1.7,1.7,1.7,1.7,1.7
2018-04-14,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002
2018-04-15,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002
2018-04-16,1.6875000000000009,1.7000000000000002,1.670833333333334,1.6976000000000004,1.688983333333334
2018-04-17,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002
2018-04-18,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002
2018-04-19,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002
2018-04-20,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002
2018-04-21,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002
2018-04-22,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002
2018-04-23,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002
2018-04-24,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002
2018-04-25,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002
2018-04-26,1.4187499999999993,1.5558333333333332,1.6641666666666666,1.7000000000000002,1.5846874999999998
2018-04-27,0.7675,0.7225,1.6900000000000004,1.7000000000000002,1.2200000000000002
2018-04-28,0.9570833333333332,1.0104166666666667,1.62,1.7000000000000002,1.321875
2018-04-29,1.0387499999999996,1.136666666666667,1.511666666666667,1.6841666666666664,1.3428125
2018-04-30,0.9125000000000004,0.9675,1.4941666666666666,1.604166666666667,1.2445833333333334
2018-05-01,0.64875,0.5308333333333334,1.2375000000000005,1.4200000000000002,0.9592708333333335
2018-05-02,0.81875,0.7129166666666665,1.1812499999999997,1.2825,0.9988541666666666
2018-05-03,0.6887500000000001,0.4541666666666666,0.8095833333333332,1.0887499999999997,0.7603125
2018-05-04,0.8220833333333334,0.6616666666666666,0.8966666666666666,1.0487499999999994,0.8572916666666666
2018-05-05,0.80875,0.6929166666666666,1.0345833333333336,1.1208333333333331,0.9142708333333333
2018-05-06,0.8216666666666667,0.7512499999999998,1.121666666666666,1.1766666666666663,0.9678124999999996
2018-05-07,0.6599999999999999,0.5316666666666666,1.0620833333333335,1.1516666666666666,0.8513541666666666
2018-05-08,0.659166666666667,0.4566666666666667,0.7995833333333332,1.0875,0.7507291666666667
2018-05-09,0.8166666666666663,0.7279166666666668,0.9654166666666666,1.1104166666666664,0.9051041666666666
2018-05-10,0.7883999999999999,0.6821739130434784,1.0054166666666668,1.1024999999999998,0.8946226449275363
2018-05-11,0.69625,0.4829166666666667,0.7245833333333334,0.9258333333333332,0.7073958333333333
2018-05-12,0.8279166666666667,0.7495833333333333,0.94375,1.0591666666666668,0.8951041666666668
2018-05-13,0.8787500000000003,0.8633333333333332,1.0925,1.1216666666666668,0.9890625000000002
2018-05-14,0.9133333333333336,0.9341666666666664,1.239166666666667,1.176842105263158,1.0658771929824562
2018-05-15,0.9433333333333332,0.9783333333333329,1.2354166666666664,1.2311111111111108,1.0970486111111108
2018-05-16,0.9720833333333336,1.0274999999999996,1.2529166666666671,1.2516666666666674,1.126041666666667
2018-05-17,1.0025000000000002,1.0739130434782609,1.2508333333333332,1.2904166666666663,1.154415760869565
2018-05-18,0.9229166666666664,1.0408333333333335,1.24125,1.307142857142857,1.1280357142857143
2018-05-19,0.7629166666666666,0.7820833333333331,1.2375,1.3323529411764703,1.0287132352941175
2018-05-20,0.6995833333333333,0.5591666666666667,0.9979166666666668,1.14,0.8491666666666666
2018-05-21,0.85,0.7837500000000003,1.1133333333333326,1.15,0.9742708333333332
2018-05-22,0.8837499999999999,0.8416666666666665,1.2004166666666662,1.1845833333333329,1.0276041666666664
2018-05-23,0.8150000000000003,0.7590476190476191,1.31375,1.2021052631578948,1.0224757205513786
2018-05-24,0.79625,0.7304166666666666,1.2187500000000002,1.187083333333333,0.983125
2018-05-25,0.8629166666666666,0.8358333333333333,1.3900000000000003,1.1946153846153842,1.0708413461538462
2018-05-26,0.8845833333333334,0.9049999999999998,1.4270833333333333,1.2354166666666666,1.1130208333333333
2018-05-27,0.8779166666666668,0.9108333333333336,1.3350000000000002,1.27125,1.0987500000000001
2018-05-28,0.9154166666666668,0.9758333333333332,1.2645833333333332,1.2995833333333329,1.1138541666666664
2018-05-29,0.9504166666666666,1.0370833333333334,1.2824999999999995,1.325833333333333,1.148958333333333
2018-05-30,0.9825,1.0862500000000006,1.2858333333333334,1.3508333333333338,1.176354166666667
2018-05-31,0.9341666666666668,1.08875,1.2983333333333331,1.3749999999999998,1.1740625
2018-06-01,0.9512500000000004,1.1141666666666667,1.455,1.3787499999999997,1.2247916666666667
2018-06-02,0.9295833333333332,1.0879166666666666,1.5575000000000003,1.4054166666666668,1.2451041666666667
2018-06-03,0.9520833333333334,1.1258333333333332,1.5345833333333332,1.4170833333333341,1.2573958333333335
2018-06-04,0.9829166666666664,1.1870833333333333,1.5316666666666656,1.4287500000000002,1.2826041666666663
2018-06-05,1.010833333333333,1.2104166666666665,1.4449999999999996,1.4391666666666665,1.2763541666666662
2018-06-06,1.038333333333333,1.2545833333333338,1.4416666666666669,1.4483333333333333,1.2957291666666668
2018-06-07,1.0083333333333335,1.2908333333333335,1.4454166666666663,1.465,1.3023958333333334
2018-06-08,0.8112499999999999,1.165,1.444583333333333,1.4729166666666664,1.2234374999999997
2018-06-09,0.8979166666666667,1.0879166666666666,1.4466666666666663,1.4729166666666669,1.2263541666666666
2018-06-10,0.9058333333333334,1.0704166666666668,1.44625,1.4754166666666666,1.2244791666666668
2018-06-11,0.7979166666666666,0.8237500000000001,1.32375,1.36,1.0763541666666667
2018-06-12,0.7875000000000001,0.6325,0.8316666666666667,1.143333333333333,0.8487499999999999
2018-06-13,0.9245833333333336,0.8629166666666666,0.9533333333333333,1.1916666666666664,0.9831249999999999
2018-06-14,0.8312499999999998,0.7970833333333333,1.0675,1.1033333333333335,0.9497916666666666
