Luz (lux),Precipitación (ml),Temperatura (C),Velocidad del viento (Km/h),E,N,NE,NO,O,S,SE,SO,PORVL2N1,PORVL2N2,PORVL4N1,PORVL5N1,PORVL6N1,PORVL7N1,PORVL8N1,PORVL9N1,PORVL10N1,PORVL13N1,PORVL14N1,PORVL15N1,PORVL16N1,PORVL16N2,PORVL18N1,PORVL18N2,PORVL18N3,PORVL18N4,PORVL21N1,PORVL21N2,PORVL21N3,PORVL21N4,PORVL21N5,PORVL24N1,PORVL24N2,pesoRacimo
0.3888961879915164,0.0,0.5926906779661019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9000000000000001,0.6608695652173914,0.96,0.8863636363636364,1.0,0.8028169014084507,0.9411764705882354,0.9396551724137931,0.7868852459016394,0.9090909090909092,0.8416666666666667,0.9000000000000001,0.7325581395348837,0.9999999999999998,0.8865979381443297,0.7916666666666667,0.7751937984496123,0.8735632183908045,0.7657657657657659,0.8971962616822432,0.8333333333333333,0.7839999999999999,0.9236641221374046,0.7739130434782611,0.8482142857142858,0.4
0.0,0.0,0.6753177966101693,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7555555555555556,0.7565217391304349,0.88,0.7272727272727273,0.8657718120805369,0.6901408450704226,0.8319327731092439,0.7155172413793104,0.7131147540983607,0.7999999999999999,0.7333333333333333,0.8222222222222222,0.6511627906976745,0.8765432098765433,0.8659793814432989,0.7083333333333333,0.8914728682170541,0.6781609195402301,0.7027027027027026,0.9813084112149534,0.5,0.7759999999999999,0.7786259541984731,0.6956521739130435,0.732142857142857,0.4554285714285715
0.0,0.0,0.22192796610169485,0.0488215488203961,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7555555555555556,0.5565217391304348,0.8400000000000001,0.6931818181818182,1.0,0.7464788732394366,0.8739495798319328,0.8965517241379312,0.7131147540983607,0.8727272727272727,0.8666666666666668,0.8888888888888888,0.7790697674418605,0.9999999999999998,0.8659793814432989,0.8333333333333334,0.7984496124031009,0.9310344827586208,0.7477477477477479,0.9065420560747663,0.8518518518518517,0.9439999999999998,0.9541984732824426,0.7826086956521741,0.892857142857143,0.3792380952380953
0.0,0.0,0.6588983050847459,0.05587668593899058,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6000000000000001,0.4521739130434783,0.6900000000000001,0.4659090909090909,0.5838926174496645,0.4577464788732395,0.7394957983193278,0.7327586206896552,0.5737704918032788,0.6181818181818182,0.4083333333333333,0.6777777777777778,0.4651162790697674,0.4567901234567902,0.6804123711340205,0.375,0.4031007751937985,0.4367816091954023,0.6576576576576578,0.6168224299065421,0.5555555555555555,0.4159999999999999,0.564885496183206,0.3478260869565218,0.5178571428571428,0.40780952380952384
0.0,0.0,0.638771186440678,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.4086956521739131,0.76,0.5113636363636364,0.9932885906040269,0.8380281690140846,0.8739495798319328,0.9224137931034484,0.7540983606557378,0.8999999999999999,0.8583333333333335,0.8777777777777778,0.7674418604651163,0.9999999999999998,0.8865979381443297,0.8250000000000001,0.7596899224806202,0.9195402298850572,0.7207207207207207,0.8971962616822432,0.8240740740740741,0.8240000000000001,0.9312977099236642,0.7391304347826086,0.8839285714285714,0.3506666666666667
0.0,0.0,0.2748940677966101,0.03431952663317719,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8222222222222223,0.7391304347826089,0.92,0.7613636363636364,0.9865771812080536,0.7535211267605634,0.8739495798319328,0.7413793103448277,0.7459016393442623,0.8727272727272727,0.8250000000000001,0.9000000000000001,0.7209302325581395,0.580246913580247,0.9175257731958762,0.7416666666666667,0.7596899224806202,0.8275862068965517,0.7027027027027026,0.8971962616822432,0.8055555555555555,0.7599999999999999,0.8015267175572518,0.6782608695652175,0.8214285714285714,0.3792380952380953
0.15818615214249515,0.0,0.7314618644067796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8777777777777779,0.791304347826087,0.94,0.9318181818181818,0.8926174496644296,0.8450704225352114,0.9579831932773109,0.8017241379310346,0.9508196721311476,0.9454545454545452,0.975,0.9444444444444444,0.8255813953488373,0.7901234567901234,0.9587628865979382,0.8333333333333334,0.7906976744186047,0.9080459770114944,0.7477477477477479,0.7009345794392524,0.8796296296296297,0.7839999999999999,0.8473282442748091,0.9739130434782609,0.9017857142857142,0.28400000000000003
0.019970344788753543,0.0,0.04290254237288127,0.037662337662599216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6777777777777778,0.6869565217391305,0.8200000000000001,0.7272727272727273,0.5838926174496645,0.7183098591549296,0.8403361344537816,0.6810344827586208,0.7049180327868853,0.7636363636363636,0.725,0.7666666666666666,0.6046511627906976,0.9012345679012348,0.8247422680412371,0.5833333333333334,0.7596899224806202,0.5172413793103449,0.6216216216216218,0.7383177570093459,0.5555555555555555,0.624,0.6717557251908397,0.4347826086956523,0.7678571428571428,0.3125714285714286
0.4254959740235365,0.0,0.6059322033898307,0.03698979592365895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8444444444444446,0.6086956521739132,0.89,0.7159090909090908,1.0,0.8239436619718311,0.8907563025210083,0.9310344827586208,0.7950819672131149,0.8545454545454545,0.7833333333333333,0.8888888888888888,0.7093023255813953,0.8888888888888891,0.8865979381443297,0.75,0.7364341085271318,0.7241379310344828,0.7567567567567568,0.8878504672897197,0.8333333333333333,0.8079999999999999,0.8854961832061069,0.8869565217391304,0.8125,0.3697142857142858
0.0,0.0,0.5397245762711864,0.024390243900474253,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5391304347826087,0.5700000000000001,0.4431818181818183,0.7651006711409396,0.09859154929577467,0.3445378151260504,0.5172413793103449,0.5081967213114754,0.5545454545454545,0.375,0.6333333333333333,0.4534883720930234,0.7160493827160495,0.6597938144329897,0.475,0.4418604651162791,0.6551724137931033,0.4774774774774776,0.7009345794392524,0.6574074074074073,0.68,0.6717557251908397,0.3130434782608696,0.5178571428571428,0.5316190476190477
0.18725952063664855,1.0,0.0958686440677965,0.04160688666915053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8111111111111111,0.6173913043478262,0.92,0.7386363636363636,1.0,0.7394366197183099,0.8991596638655462,0.9051724137931036,0.8032786885245903,0.7999999999999999,0.7583333333333333,0.7888888888888888,0.6395348837209303,0.9999999999999998,0.8144329896907216,0.7,0.7674418604651163,0.8620689655172414,0.6666666666666669,0.8878504672897197,0.8333333333333333,0.84,0.8549618320610687,0.6956521739130435,0.7946428571428572,0.3982857142857144
0.8076540475609527,0.0,0.7844279661016949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7130627232030581,0.6027637648444402,0.8063269927536233,0.6610031853807787,0.8192397911727585,0.6719478276330663,0.7983193277310925,0.7584296386406526,0.6721311475409837,0.7712608641924454,0.6863304093567251,0.7903130032206118,0.6163949800318227,0.784392943072389,0.8073040352396651,0.6431134783922636,0.7056987889144811,0.6945967279765576,0.6506501977090214,0.7743567694779481,0.6739743457477904,0.6325043718361713,0.7470650646236945,0.5847460640420363,0.6875,0.1601904761904762
