Fecha:,Velocidad del viento (Km/h)
2018-07-06 14:14:58,7.422680412
2018-07-06 14:44:58,1.444332999
2018-07-06 15:15:03,0
2018-07-06 15:45:03,0
2018-07-06 16:15:02,2.171945701
2018-07-06 16:45:03,1.956521739
2018-07-06 17:15:00,1.28342246
2018-07-06 17:45:00,6.6359447
2018-07-06 18:15:01,1.044992743
2018-07-06 18:45:02,0
2018-07-06 19:15:04,1.081893313
2018-07-06 19:45:01,1.773399015
2018-07-06 20:15:00,0
2018-07-06 20:45:36,5.373134328
2018-07-06 21:14:58,1.591160221
2018-07-06 21:45:01,0
2018-07-06 22:15:02,0
2018-07-06 22:44:58,4.285714286
2018-07-06 23:14:59,1.496881497
2018-07-06 23:45:03,1.413150147
2018-07-07 00:15:02,0
2018-07-07 00:45:02,0
2018-07-07 01:15:02,0
2018-07-07 01:45:04,0
2018-07-07 02:15:00,1.827411168
2018-07-07 02:45:03,0
2018-07-07 03:15:00,0
2018-07-07 03:45:02,0
2018-07-07 04:15:00,0
2018-07-07 04:45:00,0
2018-07-07 05:15:00,0
2018-07-07 05:45:01,0
2018-07-07 06:15:02,0
2018-07-07 06:45:02,5.106382979
2018-07-07 07:15:02,0
2018-07-07 07:44:58,2.420168067
2018-07-07 08:15:03,0
2018-07-07 08:45:03,0
2018-07-07 09:15:03,0
2018-07-07 09:44:59,2.3723229
2018-07-07 10:15:00,8.13559322
2018-07-07 10:45:00,7.461139896
2018-07-07 11:15:22,0
2018-07-07 11:45:02,7.659574468
2018-07-07 12:15:00,1.447236181
2018-07-07 12:44:57,3.090128755
2018-07-07 13:14:58,1.448692153
2018-07-07 13:45:03,1.097560976
2018-07-07 14:14:57,1.25
2018-07-07 14:44:58,1.032998565
2018-07-07 15:15:01,0
2018-07-07 15:45:03,0
2018-07-07 16:15:00,1.115414407
2018-07-07 16:44:58,2.651933702
2018-07-07 17:14:58,1.862871928
2018-07-07 17:45:04,0
2018-07-07 18:15:03,0
2018-07-07 18:45:49,0
2018-07-07 19:14:59,0
2018-07-07 19:45:04,0
2018-07-07 20:15:01,0
2018-07-07 20:45:01,0
2018-07-07 21:15:01,0
2018-07-07 21:44:57,2.185128983
2018-07-07 22:15:02,0
2018-07-07 22:45:02,1.06351551
2018-07-07 23:14:58,2.432432432
2018-07-07 23:44:58,1.206030151
2018-07-08 00:14:59,1.075429425
2018-07-08 00:44:59,0
2018-07-08 01:14:59,1.492227979
