,Luz (lux)
1177,30712
1178,18727
1179,47614
1180,38891
1181,42551
1182,35947
1183,24527
1184,16735
1185,13980
1186,9647
1187,5623
1188,1304
1189,5
1190,1
1191,1
1192,1
1193,1
1194,1
1195,1
1196,1
1197,1
1198,1
1199,1
1200,1
1201,1
1202,1
1203,1
1204,1
1205,1
1206,1
1207,1
1208,1
1209,1
1210,1
1211,1
1212,10
1213,1848
1214,6885
1215,10554
1216,16180
1217,25946
1218,30712
1219,35545
1220,40679
1221,32855
1222,45011
1223,43518
1224,43518
1225,41605
1226,17309
1227,50367
1228,45011
1229,43518
1230,35545
1231,24253
1232,19369
1233,11678
1234,9222
1235,5949
1236,1411
1237,6
1238,1
1239,1
1240,1
1241,1
1242,1
1243,1
1244,1
1245,1
1246,1
1247,1
1248,1
1249,1
1250,1
1251,1
1252,1
1253,1
1254,1
1255,1
1256,1
1257,1
1258,1
1259,1
1260,9
1261,1319
1262,7968
1263,13980
1264,20260
1265,25369
1266,34366
1267,38456
1268,21192
1269,38891
1270,45011
1271,46555
1272,23186
1273,49247
1274,18727
1275,48697
1276,45011
1277,38891
1278,33982
1279,24527
1280,17505
1281,10674
1282,9539
1283,4593
1284,1041
1285,6
1286,1
1287,1
1288,1
1289,1
1290,1
1291,1
1292,1
1293,1
1294,1
1295,1
1296,1
1297,1
1298,1
1299,1
1300,1
1301,1
1302,1
1303,1
1304,1
1305,1
1306,1
1307,1
1308,10
1309,1526
1310,5198
1311,9647
1312,15125
1313,19588
1314,36354
1315,40679
1316,20489
1317,29033
1318,46035
1319,43032
1320,35545
1321,49804
1322,21674
1323,49247
1324,48152
1325,40679
1326,35947
1327,25946
1328,16548
1329,13216
1330,9432
1331,5623
1332,1509
1333,7
1334,1
1335,1
1336,1
1337,1
1338,1
1339,1
1340,1
1341,1
1342,1
1343,1
1344,1
1345,1
1346,1
1347,1
1348,1
1349,1
1350,1
1351,1
1352,1
1353,1
1354,1
1355,1
1356,12
1357,1633
1358,6222
1359,8621
1360,19369
1361,26836
1362,32855
1363,34755
1364,35947
1365,40679
1366,44508
1367,43032
1368,25085
1369,48697
1370,30029
1371,51513
1372,46555
1373,40225
1374,34755
1375,25655
1376,20489
1377,13980
1378,9756
1379,5561
1380,1614
1381,7
1382,1
