,Velocidad del viento (Km/h)
477,0.0
478,1.384615385
479,0.0
480,3.096774194
481,0.0
482,0.0
483,1.153846154
484,1.357210179
485,0.0
486,1.54340836
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,1.054172767
498,3.280182232
499,2.289348172
500,2.356792144
501,5.0
502,1.343283582
503,1.2720848059999998
504,3.076923077
505,7.422680412
506,2.47848537
507,5.179856115
508,2.823529412
509,1.610738255
510,6.025104603
511,3.38028169
512,3.47826087
513,2.461538462
514,1.980742779
515,3.3103448280000003
516,4.705882353
517,2.845849802
518,2.47848537
519,1.226575809
520,2.7324478180000003
521,1.6705336430000002
522,2.127031019
523,2.2820919180000003
524,0.0
525,0.0
526,0.0
527,0.0
528,3.1788079469999997
529,1.042722665
530,0.0
531,0.0
532,0.0
533,1.909814324
534,0.0
535,4.102564103
536,0.0
537,0.0
538,0.0
539,2.019635344
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,1.151079137
547,1.0227272729999999
548,0.0
549,1.8437900130000002
550,4.376899696000001
551,1.4342629480000002
552,1.371428571
553,0.0
554,0.0
555,0.0
556,0.0
557,3.769633508
558,2.594594595
559,2.613430127
560,1.251086012
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,1.87012987
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,2.0991253640000003
579,1.050328228
580,0.0
581,0.0
582,1.3043478259999999
583,0.0
584,0.0
585,1.051862673
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,1.274336283
593,1.2687224670000001
594,3.1441048030000003
595,1.802252816
596,6.050420168
597,5.106382979
598,3.9560439560000003
599,4.948453608
600,3.538083538
601,2.691588785
602,3.3103448280000003
603,4.914675768
604,4.430769231
605,7.955801105
606,3.6
607,1.580680571
608,5.496183206
609,3.0573248410000002
610,4.816053512
611,4.690553746
612,2.742857143
613,2.274881517
614,4.06779661
615,2.264150943
616,2.56684492
617,6.315789474
618,1.068249258
619,0.0
620,1.41453831
621,2.1654135340000003
622,3.93442623
623,0.0
624,4.198250729
625,0.0
626,0.0
627,4.350453172
628,6.4
629,0.0
630,1.347053321
631,2.11143695
632,0.0
633,4.848484848
634,1.242450388
635,2.142857143
636,4.033613445
637,1.0884353740000001
638,0.0
639,1.0843373490000001
640,3.8605898119999997
641,0.0
642,2.360655738
643,6.101694915
644,1.766871166
645,4.675324675
646,10.35971223
647,2.9508196719999997
648,4.090909091
649,3.025210084
650,1.67636787
651,3.38028169
652,4.556962025
653,2.651933702
654,4.337349398
655,5.274725275
656,3.1788079469999997
657,5.433962264
658,11.07692308
659,6.025104603
660,4.390243902
661,3.37236534
662,2.1654135340000003
663,0.0
664,1.688159437
665,3.7209302330000003
666,1.451612903
667,3.37236534
668,1.119751166
669,3.7305699480000003
670,2.666666667
671,4.0793201130000005
672,0.0
673,2.508710801
674,1.277728483
675,1.49068323
676,2.944785276
677,1.594684385
678,1.541755889
679,2.236024845
680,1.603563474
681,4.137931034
682,5.78313253
683,3.692307692
684,4.149855908
685,1.951219512
686,4.3636363639999995
687,0.0
688,3.436754177
689,6.206896552000001
690,3.7305699480000003
691,7.30964467
692,4.350453172
